Product Name,Official Price,Weight/Unit,Offer Price,Currency,Date,From
Mandam Methawi is a big soil,,kilo or count,49,SAR,2024-08-18,https://aloqailat.com
Shammam Asli,,kilo or count,39,SAR,2024-08-18,https://aloqailat.com
Mango Sixty,,kilo or count,36.74,SAR,2024-08-18,https://aloqailat.com
Kiwi basket,,kilo or count,23,SAR,2024-08-18,https://aloqailat.com
Sugar apple basket,,kilo or count,14,SAR,2024-08-18,https://aloqailat.com
Sleep apple basket,,kilo or count,14,SAR,2024-08-18,https://aloqailat.com
Lemons,,kilo or count,10,SAR,2024-08-18,https://aloqailat.com
Avocado is American,,kilo or count,43,SAR,2024-08-18,https://aloqailat.com
African Avocado,,kilo or count,25,SAR,2024-08-18,https://aloqailat.com
Kiwi plate,,kilo or count,17,SAR,2024-08-18,https://aloqailat.com
Red apples,,kilo or count,13,SAR,2024-08-18,https://aloqailat.com
Green apple plate,,kilo or count,13,SAR,2024-08-18,https://aloqailat.com
Spanish orange eating a plate,,kilo or count,15,SAR,2024-08-18,https://aloqailat.com
Swan juice orange,,kilo or count,8,SAR,2024-08-18,https://aloqailat.com
Soon Froot Kilo,,kilo or count,13,SAR,2024-08-18,https://aloqailat.com
September plate,,kilo or count,43,SAR,2024-08-18,https://aloqailat.com
Banana in kilo,,kilo or count,9.57,SAR,2024-08-18,https://aloqailat.com
Banana Baby Cartoon,,kilo or count,29.13,SAR,2024-08-18,https://aloqailat.com
Kilo sugar apple,,kilo or count,12,SAR,2024-08-18,https://aloqailat.com
Green apples in kilo,,kilo or count,12,SAR,2024-08-18,https://aloqailat.com
Red apples in kilo,,kilo or count,13,SAR,2024-08-18,https://aloqailat.com
Avcado in kilo,,kilo or count,25,SAR,2024-08-18,https://aloqailat.com
American red berries,,kilo or count,21.74,SAR,2024-08-18,https://aloqailat.com
Blue berries,,kilo or count,12.20,SAR,2024-08-18,https://aloqailat.com
Youssef Effendi in kilo,,kilo or count,17.40,SAR,2024-08-18,https://aloqailat.com
Lemon,,kilo or count,10.74,SAR,2024-08-18,https://aloqailat.com
Red grape kilo,,kilo or count,27,SAR,2024-08-18,https://aloqailat.com
White grape kilo,,kilo or count,27,SAR,2024-08-18,https://aloqailat.com
pineapple,,kilo or count,40,SAR,2024-08-18,https://aloqailat.com
